GLA,110,49,95,100,90,50,95
PGL,105,34,100,95,100,45,85
MRD,115,28,100,100,90,30,50
LNC,110,39,105,100,95,40,60
ARC,100,69,85,95,105,80,75
CNJ,100,117,50,95,100,100,105
THM,100,123,40,95,95,105,70
PLD,120,59,100,110,95,60,100
MNK,110,43,110,100,105,50,90
WAR,125,38,105,110,95,40,55
DRG,115,49,115,105,100,45,65
BRD,105,79,90,100,115,85,80
WHM,105,124,55,100,105,105,115
BLM,105,129,45,100,100,115,75
ACN,100,110,85,95,95,105,75
SMN,105,111,90,100,100,115,80
SCH,105,119,90,100,100,105,115
ROG,103,38,80,95,100,60,70
NIN,108,48,85,100,110,65,75
MCH,105,79,85,100,115,80,85
DRK,120,79,105,110,95,60,40
AST,105,124,50,100,100,105,115
SAM,109,40,112,100,108,60,50
RDM,105,120,55,100,105,115,110
BLU,105,120,70,100,110,115,105
GNB,120,59,100,110,95,60,100
DNC,105,79,90,100,115,85,80
RPR,115,100,115,105,100,80,40
SGE,105,100,60,100,100,115,115
VPR,111,100,100,100,110,45,55
PCT,105,100,50,100,110,115,80